filename	text	duration	sampling_rate	speaker
khm_6753_0006275890.wav	តា ផឿង មាន ទម្ងន់ មួយ រយ ផោន	3.413	48000	6753
khm_6753_0007264957.wav	ពុទ្ធ ប្រវត្តិ មាន ប៉ុន្មាន ដំណាក់កាល	3.925	48000	6753
khm_6753_0010906676.wav	បើ យើង ស្គាល់ កូអ័រដោណេ វា យើង អាច នឹង រក វា ឃើញ	4.437	48000	6753
khm_6753_0014350464.wav	ឆោម ពុនយ៉ុង សម្រេចចិត្ត ទៅ បួស	3.499	48000	6753
khm_6753_0014442614.wav	គ្រឹះស្ថាន អង្គរ មីក្រូ ហិរញ្ញ វត្ថុ	4.437	48000	6753
khm_6753_0019223010.wav	ណូយ វ៉ាន់ណេត នៅតែ បន្ត ច្រៀង ចម្រៀង ពី ដើម	4.693	48000	6753
khm_6753_0024928814.wav	មេរៀន សង្ខេប វិភាគ សៀគ្វី អគ្គិសនី	6.229	48000	6753
khm_6753_0046228434.wav	មន្ទីរ សំរាក ព្យាបាល ផ្កា ឈូក ទិព្វ	4.181	48000	6753
khm_6753_0052127558.wav	គង់ សុជាតិ ជា ពិធីការី កម្មវិធី ពេញចិត្ត ឬ អត់	4.779	48000	6753
khm_6753_0053592926.wav	ក្រូហ្គឺ ជា មនុស្ស ខ្ជិល ច្រអូស	3.584	48000	6753
khm_6753_0056472664.wav	ទង់ ជាតិ ខ្មែរ សម័យ សង្គម រាស្ត្រ និយម	4.437	48000	6753
khm_6753_0057933737.wav	បាត់បង់ ស្នេហា គ្មាន អ្វី អស្ចារ្យ	4.011	48000	6753
khm_6753_0062259703.wav	អ៊ែរ អាស៊ី បើក ជើង ហោះហើរ ត្រង់ ពី បាងកក ទៅ សៀមរាប	7.168	48000	6753
khm_6753_0069138418.wav	ជ័យវរ្ម័ន ជា ព្រះ នាម ព្រះ មហា ក្សត្រ ខ្មែរ ក្នុង សម័យ ចេនឡា	5.461	48000	6753
khm_6753_0069876064.wav	ធនាគារ ពាណិជ្ជ ក្នុង ប្រទេស កម្ពុជា	4.523	48000	6753
khm_6753_0077702223.wav	សុខ អង្គុយ ធ្វើ មុខ ស្ញេញស្ញាញ មិន ហ៊ាន កម្រើក	4.267	48000	6753
khm_6753_0081981246.wav	ទែម៉ូម៉ែត្រ ប្រើ សម្រាប់ វាស់ សីតុណ្ហភាព	4.181	48000	6753
khm_6753_0084940458.wav	តើ អ្នក ធ្លាប់ ឮ ឈ្មោះ  រ៉ុកខឺហ្វេល័រ  ទេ	3.84	48000	6753
khm_6753_0087335582.wav	អ៊ីហ្ស៊ីខម ពង្រីក ការិយាល័យ របស់ ខ្លួន នៅ តាម បណ្ដា ខេត្ត	5.547	48000	6753
khm_6753_0087597709.wav	ហាង អាយវន្ត សាខា ផ្សារ សុវណ្ណា ជាន់ ផ្ទាល់ ដី មាន ចែក រង្វាន់ នៅ សប្តាហ៍ នេះ	8.021	48000	6753
khm_6753_0089132471.wav	ផែនការ អាជីវកម្ម ក្នុង ប្រទេស កម្ពុជា	4.352	48000	6753
khm_6753_0090925122.wav	ខ្ញុង ប្រកាស រក ប្ដី អ្នក មាន ទ្រព្យ ដោយ មិន ប្រកាន់ វ័យ	4.949	48000	6753
khm_6753_0093673435.wav	និស្សិត ម្នាក់ បាន តែង ខ្លួន ជា ស៊ុន អ៊ូខុង	5.888	48000	6753
khm_6753_0098687261.wav	ទីភ្នាក់ងារ និង សេវាកម្ម ដឹក ជញ្ជូន	4.096	48000	6753
khm_6753_0102593740.wav	កញ្ញា ទឹម រដ្ឋា បាន ចូលរួម ពិធី ខួប កំណើត របស់ កញ្ញា សាសា	5.547	48000	6753
khm_6753_0107471922.wav	លោក ប៊ុនញ៉ោង ជា ប៉ូលីស ផ្នែក ព្រហ្មទណ្ឌ	3.925	48000	6753
khm_6753_0110115605.wav	មធ្យោបាយ ការ ធ្វើ ដំណើរ មុន សម័យ អង្គរ	4.267	48000	6753
khm_6753_0121527975.wav	ស៊ីន អ៊ូខុង ទៅ ទិញ សំបុត្រ រថភ្លើង ផ្អើល អស់ អ្នក ធ្វើ ដំណើរ	6.912	48000	6753
khm_6753_0126013745.wav	យើង មិន អាច សុំ ការ អត្ថាធិប្បាយ ពី អ្នកនាង ខៀវ សាន សាណា បាន ទេ	6.741	48000	6753
khm_6753_0128396732.wav	ហ្គុដរីដ សាលា បង្រៀន បើកបរ	3.755	48000	6753
